event_index,victim,original_v1_id,assigned_v2_id,replacement_policy,conflict_reason,floor_code,tier_index,replacement_floor_code,replacement_tier_index,incident_block,incident_transaction
138,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,3587,3587,exact-id,,5,0,5,0,34950608,0x6cf9df4d00e117e3da4501a3a0a647d067ab142de6ee14f073d955960ec43392
139,0x226c1cf05631AB8eb374acdBeA87b25f159f72bE,3620,749,same-floor-same-tier,pause-block-holder,0,0,0,0,34950624,0xa5af816c01674e8270a6d8b68bc8e1018802e51ff66ac082e88bdc280dd740a2
140,0xcdeA19E6d247619ed5feFE47B4992EA577aD2142,3737,2876,same-floor-same-tier,pause-block-holder,3,3,3,3,34950639,0x3fd163f05e7b30ed63c32e15842dd85d432ede96a5bad38b88248dae484db282
141,0x7F7AF4780b3D99f9EF156Ca9b29226f9Da469dA4,3741,3741,exact-id,,2,0,2,0,34950655,0x7ec0a1fcd9d252ef00c16a3f81ee7c1190be740eccac1fbf3c8356467047b0e8
142,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,3868,3868,exact-id,,5,0,5,0,34950670,0x41b4ecd3447083a14db989759ebbb72630bfe52f9845b30a1d2aa739551df6d6
143,0x226c1cf05631AB8eb374acdBeA87b25f159f72bE,3978,772,same-floor-same-tier,pause-block-holder,0,0,0,0,34950684,0xb508a38b1285eb4ec7d63bfe7b35b241619a0a3611939df9e59fc3c76288be05
144,0x27dA6F24Cd437BC0A00469E19aD8342b7f2e50E3,3993,416,same-tier-cross-floor,pause-block-holder,2,3,0,3,34950700,0xecd000896844fa2697452455d8c6ad402ca33921102547144c1457145abc0db4
145,0xa44F1C3454d7B0b0cc38F26015537b111F6be568,3996,3996,exact-id,,0,0,0,0,34950714,0x56e535b57ec00ceff92de82268dfa888c2cb98f495ea835bbc5d705663c606fe
146,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,4036,500,same-floor-same-tier,repeated-incident-id,6,0,6,0,34950730,0xd0b135eaf726fc27569ea4bc1519bdd25060cf614eb6c7d2d45dafc3fa995819
147,0x672399798c81FB80f810424a62e032cE169f8D12,4046,4046,exact-id,,5,1,5,1,34950746,0x0597421208d9ae4ad4d62232b637a1df9374fa4b849ba608fc8f7a486674649d
148,0x8797A47a9200b52Ee90B4c5b5fA5A0DeD56dD5F5,4205,4205,exact-id,,5,2,5,2,34950760,0x1891036366a03da350465e8d7416736757551694f2a22c8642def044cfeb9bee
149,0x226c1cf05631AB8eb374acdBeA87b25f159f72bE,4353,4353,exact-id,,8,1,8,1,34950774,0xec6da08fd389b73e81a83bb9d15ee8ba415ba364da5c7253a7c38603367a4ca6
150,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,4367,4367,exact-id,,0,0,0,0,34950791,0xe17110f2e8676b6002db6e54733745c648f3982c50672c4a63b0c6595631a726
151,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,4370,4370,exact-id,,4,0,4,0,34950805,0xb67b1428b5b0342ba8751471ef72129681c94c645871064a71d2b67e93de7e4a
152,0xaFa0aDb782345AAA73d9341F6b5C0Da0afcedeC6,4372,4372,exact-id,,8,2,8,2,34950820,0x24631295dc6aa5647c7730064307e588a48863d2a0db301689b1515e029c8d86
153,0xba4F262D8c37E161Fa97378782eCBdf7FFf37d25,4414,4414,exact-id,,9,0,9,0,34950835,0xfd9ef9680ee5dd61d12d5094e9e0e95a76323653a24e755d9b598c0ae21ce63f
154,0x672399798c81FB80f810424a62e032cE169f8D12,273,273,exact-id,,2,0,2,0,34950959,0xa9c8b2163fb5527df01a392c378ed20853a202ac98e32524d498953db39a61ab
155,0xFBD3c3aA054d241fc30732582d4F8519391804ba,202,202,exact-id,,0,1,0,1,34955374,0x3c504c0546fdb52cb42b181488576de03b6ff227dd9a0fbabd3bbf8f5ded7618
156,0x672399798c81FB80f810424a62e032cE169f8D12,663,2209,same-floor-same-tier,pause-block-holder,4,2,4,2,34955389,0x4c8445d81a8b24236c3bd3719f4236b90720ef6a826351fd2e8114a31ae2cb60
157,0x8797A47a9200b52Ee90B4c5b5fA5A0DeD56dD5F5,768,768,exact-id,,6,0,6,0,34955404,0x130f38f1cb5ad5127c04a33404a15eca9fe8a578d13f7a3108afec2c8b8aac62
158,0x8797A47a9200b52Ee90B4c5b5fA5A0DeD56dD5F5,889,889,exact-id,,1,2,1,2,34955420,0x985f6fc70d1c8ee7a9a6521e9642d2364fff5a005e84a6cc9d44edc2b604d74e
159,0x16F5EF133d0D15B196A778d22BF1ec56f8f37C05,979,914,same-floor-same-tier,pause-block-holder,0,0,0,0,34955437,0x5b4f5a387746cf81046f6f8fd20d17e9fc7d60b31f422553e35f70dd2a7ea8d8
160,0x8797A47a9200b52Ee90B4c5b5fA5A0DeD56dD5F5,1386,1386,exact-id,,6,0,6,0,34955451,0xc3e5a2dee75abe5b8581f5fb09d523b0aa153c172a35000b280fcd538521109d
161,0x1f3cc123f5C83C34Ee68B9Bd7b13039A73D3E937,1598,199,same-floor-same-tier,pause-block-holder,9,0,9,0,34955464,0x1b8ed54a094e76da95d8a0250b4ebe98aa6c33973e430954f847e7a6d62848d5
162,0x237d44ff9c9A48bce5Ed6c337db3080Ec7967F56,1692,564,same-floor-same-tier,pause-block-holder,6,1,6,1,34955480,0x1e4ce68a995b9af5fd1a8afda8f55c6c01d2931a6fbad83e234c12f26cd149f4
163,0x8797A47a9200b52Ee90B4c5b5fA5A0DeD56dD5F5,1894,1894,exact-id,,0,3,0,3,34955495,0x52bb6f1778e66980215cc1b3c5c221b456566c1d78ad6a190c6fdd6d96e9f96d
164,0x1f3cc123f5C83C34Ee68B9Bd7b13039A73D3E937,2278,513,same-floor-same-tier,pause-block-holder,6,0,6,0,34955509,0x3016a8682024e542c90bd5de5b8278e44d488c94544a89d1a6188f870dc35d39
165,0xa667A51BDCB32DaBc8a9396a4523B5feF314ebE7,2373,2373,exact-id,,4,1,4,1,34955525,0x105c046c558e456cd7a53dbacb0d409c94dd6f9cd9853f123971a1be1235e2b2
166,0xaDF8D3d8032FA0d8f8e23aecdEe12CeD4b786362,2396,571,same-floor-same-tier,pause-block-holder,3,2,3,2,34955540,0x8d39c93dcb646a693619761e5436480f428145dfbdb5d60d1979654e2f386ae8
167,0xD2B1AC8Bd4D12FD3126263498e7BE87c49A58002,2585,2585,exact-id,,4,2,4,2,34955555,0x65db0537713790491de059c385473d6b017989de75876e0b4e1cf5d5f70bc3c8
168,0x1f3cc123f5C83C34Ee68B9Bd7b13039A73D3E937,2765,2765,exact-id,,5,1,5,1,34955570,0x8133deacb187a624b9304bc579e8276157768386cb67507aecce3fb00e0c4fe1
169,0x1f3cc123f5C83C34Ee68B9Bd7b13039A73D3E937,2900,2900,exact-id,,9,1,9,1,34955585,0x7012d759385a87e6401a478df3ab944a80a65cd52fa541006218bf6c70f0eee5
170,0x237d44ff9c9A48bce5Ed6c337db3080Ec7967F56,3220,3220,exact-id,,3,1,3,1,34955624,0xa9be8fe90ec0b10800b82cbde3eab0b2132b96c4097e9c5b0f78f05ca6ab71f0
171,0xb9d666c6E61826545E2c8e26B46e11f501354591,3731,1699,same-floor-same-tier,pause-block-holder,9,2,9,2,34955640,0x113aa55640340b4739b03193b6fa57ca7a3ea27f8c3a66e78a0e89b70f442e41
172,0x561A7818742874bd14f05B3f999BaB1FeAf4c84a,3748,3748,exact-id,,4,0,4,0,34955656,0xd6d674731f5ea3701647a3dacbc471b13d845facda9554e062e519552dbec59f
173,0xD2B1AC8Bd4D12FD3126263498e7BE87c49A58002,3934,3934,exact-id,,9,0,9,0,34955671,0x32a9c7483ec876e60c18f70ee51a33780cc8c0bdf8f054625ff2b0e1aeb192be
174,0x8797A47a9200b52Ee90B4c5b5fA5A0DeD56dD5F5,4012,246,same-floor-same-tier,pause-block-holder,9,0,9,0,34955686,0x9b3de88c3a8c474a169b522765792c689f355265e061056142ee13d27dbc15b9
175,0x672399798c81FB80f810424a62e032cE169f8D12,4389,4389,exact-id,,6,0,6,0,34955701,0x3a837b1674cc72c35dbb5acfaf2f141cb295cee894133af80973ee789ec15df8
176,0x3b7Bc4F00Cc148dB3c8B34098a33611e2bC7dE31,2179,803,same-floor-same-tier,pause-block-holder,4,1,4,1,34959886,0xb0219bec57e4969b06999b4ebf8d957fd83a0ef444f1cd87a5091dc5b869d864
177,0xB24796412345dbe99D9873C98c9d9ace9479fc71,2805,2805,exact-id,,6,2,6,2,34959900,0x475dd2b215eeb8dc1c5c0e4bb0d630c88dc457a50d49be009cc8cb52c87f7143
178,0xCe47A2BB65a063D164A14cce8AE84C60C40ed9cF,2810,261,same-floor-same-tier,pause-block-holder,0,1,0,1,34959916,0xd0a21479d5e40f0325291107175034a05417830aac9f98844ebc93146ef15c96
179,0x7AE5535627065f642388c407A68e93Dcfe759C07,3078,464,same-floor-same-tier,pause-block-holder,7,1,7,1,34959931,0xce6290c233283f9467a4640991bbd9652b1cb68433cfb9dedf9c8c60e6e6721c
180,0xD2B1AC8Bd4D12FD3126263498e7BE87c49A58002,387,387,exact-id,,7,0,7,0,34960274,0x4ecbfa8680e60af898ff93f7d7b37f25b2edbb542a86aac39ae55c19d31475ed
181,0xD2B1AC8Bd4D12FD3126263498e7BE87c49A58002,2607,1272,same-floor-same-tier,pause-block-holder,8,0,8,0,34960288,0xbc4fdcf4e92116a86fcaa6b58cffb0c7cb52b27f601c21a67ee60bb661957e74
182,0xD2B1AC8Bd4D12FD3126263498e7BE87c49A58002,2906,2906,exact-id,,7,0,7,0,34960303,0x2b40620b00dce03519cc191679aeb55d0498ff69c23f67c10458f3402c3db1ee
183,0xD2B1AC8Bd4D12FD3126263498e7BE87c49A58002,4369,4369,exact-id,,1,1,1,1,34960318,0x55f2751ae239ed861474a5a346e6661ea267682e9dd3a11e10579c671f6834fe
184,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,185,1342,same-floor-same-tier,pause-block-holder,8,0,8,0,34960817,0xfcada56dea837970814161e87199e0a2baf2aba9a25d7e99748d5145d6fbc239
185,0xDb363862E5e73a7ce226730de475C507547cD4c2,190,190,exact-id,,9,0,9,0,34960832,0xc2d6b16307f85fc7fecbf795b91877c4d102282259cf736db9614624da74ddd0
186,0x89Ebcf0469aa1736d78E5Df71E1eD10F31B88B1d,1083,1083,exact-id,,1,0,1,0,34960867,0x37dabcb4627feb3f86d1c89df60676bd42e8192c71d02350533f00d18114e9f8
187,0x5EeD905E372Bc0DB8Ed21A3DB8BeB3c72F398eD4,1256,454,same-floor-same-tier,pause-block-holder,7,0,7,0,34960880,0x80dd4e5284ee4fb5a395ad4c6eecce7e4edfc54269db1bfeee9cba5af633d995
188,0x98e9a49D58e28263ddfDeA323358aC76D1f9719A,1663,1663,exact-id,,9,0,9,0,34960905,0xf63b0391579dfe4643aa006e92de74028b15b9360b4f0904f9b6506f74e71b63
189,0x98e9a49D58e28263ddfDeA323358aC76D1f9719A,1683,13,same-floor-same-tier,repeated-incident-id,1,0,1,0,34960920,0x8573c150287a9ed64055764eaca231954565fb23a0f3c78695862520d674aaee
190,0xDb363862E5e73a7ce226730de475C507547cD4c2,1965,341,same-floor-same-tier,pause-block-holder,9,0,9,0,34960955,0x95fb1a91be84a93f2d8531aef79ae09eb76605f2995f2de0ddab0269d933d038
191,0xf6ae5F46a6d3e523517fc4E9920A495D57BA9599,2580,2580,exact-id,,0,0,0,0,34960970,0xcf92f5d5ede4f0414d1b92eb464d2fab84a8c8bf5b56c026cbf06ddb3f1fa835
192,0x98e9a49D58e28263ddfDeA323358aC76D1f9719A,2718,2718,exact-id,,5,0,5,0,34960985,0xc325de0090908a62fa329a7d3f7ca4efcbb5bb7796189a51f2624589eb1907ab
193,0xDb363862E5e73a7ce226730de475C507547cD4c2,2834,135,same-floor-same-tier,pause-block-holder,3,0,3,0,34961000,0x119ccddf00517bbff0efc64c5912d0cdc05a34916174b40007599f46e3540986
194,0x98e9a49D58e28263ddfDeA323358aC76D1f9719A,3867,3867,exact-id,,5,1,5,1,34961016,0xf9c7d3c9d7be3d3422060544ae4065baa20add3af221d9b8132521808a6d484e
195,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,4183,4183,exact-id,,0,2,0,2,34961050,0xb4167a4509cbeb264dab5484263994166fa93c296e49084f14ddc09da89cac32
196,0xDb363862E5e73a7ce226730de475C507547cD4c2,4281,4281,exact-id,,7,0,7,0,34961066,0xd1c1469d08d5203fb20d8a312674326cfe81473a4e0fdebcc1c6a2fa5441a2bf
197,0x27dA6F24Cd437BC0A00469E19aD8342b7f2e50E3,316,316,exact-id,,1,0,1,0,34961190,0x7fd6c8bfff4278875c592440a091cc4afff3578c5a7368e9529a76753d69692d
198,0xfc7506d541eE119a64f0d75f907D21408b71A562,1125,1125,exact-id,,4,2,4,2,34961206,0xac993808cb5fb8bdeae3b2f7a2b6382d0b60da913b7a40762a2945d025dbccd7
199,0x37bbFc32408449Ec4251bf3C2fef4F7CD52746ba,1237,695,same-floor-same-tier,pause-block-holder,7,0,7,0,34961222,0x82b2ca6df55171f7c53480411c509e341a86031fba0806938b2dbedf1a211dce
200,0x27dA6F24Cd437BC0A00469E19aD8342b7f2e50E3,1266,1266,exact-id,,7,0,7,0,34961238,0x9557586264e1a971522c3a9fe1711b59ba5ae0a1d634ca7d73558f08095f8a9a
201,0x4324263f8017205F7Da6cF28b87330e49795c393,1299,1299,exact-id,,0,1,0,1,34961251,0x8a4e244ae17c4bd08b55e13b99916c0543bcd9ed49a5ba10b2da43e5ef4ee475
202,0xfc7506d541eE119a64f0d75f907D21408b71A562,1410,1410,exact-id,,9,2,9,2,34961267,0xeefd373ae804bc24f7c1b5498045050dbf200f3775c43730f223e27c2f381d74
203,0x27dA6F24Cd437BC0A00469E19aD8342b7f2e50E3,1431,946,same-floor-same-tier,pause-block-holder,0,0,0,0,34961282,0xea1f0528c3c7adb152114142cf6573af4e41a255d80d9ff0b9fad7214d69202d
204,0xf6ae5F46a6d3e523517fc4E9920A495D57BA9599,1678,1398,same-floor-same-tier,pause-block-holder,8,0,8,0,34961297,0x196309b6baa2e1a925e1c5748c411f862110889a5b26046771356dd69f130f13
205,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,1739,1739,exact-id,,9,0,9,0,34961312,0x1484266c3c68f3cc6436b6ab0215c92b2a58c28ed40aea2b4bf2fbe2634df26e
206,0x50d31D668B43EB05CFA2e76C46D6F3cb8d206f13,1758,55,same-floor-same-tier,pause-block-holder,1,0,1,0,34961331,0xe9e362fc27c01d83df4eadafc14a4676e7e031dcc79c43007d3c711479faa6b5
207,0x10F62eDCf62c78D89953f1A7C796bA56e9dB2F3b,2402,2402,exact-id,,0,2,0,2,34961347,0x26a158aef41e0a96768c067c435bad606ec21a40cddb7f272a23e74746eafa5b
208,0xB60453f825414620eE8C815A664FaD52B1030d8F,2514,2514,exact-id,,8,0,8,0,34961362,0xc389d8fa25857c82650d020d497fbab9d7c88f3481d9fd987fd20bf2e03ff24f
209,0x4324263f8017205F7Da6cF28b87330e49795c393,2767,2767,exact-id,,2,1,2,1,34961377,0x5d6f7b2d8a27112224baa57af2110d504dc1f6afc4cb3f9618e079ec64a85763
210,0x27dA6F24Cd437BC0A00469E19aD8342b7f2e50E3,2770,2770,exact-id,,5,1,5,1,34961391,0xa5ea878dcfedca578f4f923c455b24ddbb0cf9d194f86feadafdaa9979ed4407
211,0x10F62eDCf62c78D89953f1A7C796bA56e9dB2F3b,2774,2774,exact-id,,6,1,6,1,34961406,0x8d146606c9cbe2ccf4a9b0e8b413e619330dc02da68e9ed0cf4025f123e28636
212,0xfc7506d541eE119a64f0d75f907D21408b71A562,2916,2916,exact-id,,8,0,8,0,34961422,0x232040571fc6e5715cca0ef63a86e07678c94825f70b07e00545ff4860feb172
213,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,3002,3002,exact-id,,7,1,7,1,34961437,0xc9c99f858f0a711fedae89811b72e01e7e7b1c85a88d2f0b49d16a9adc16db1f
214,0x10F62eDCf62c78D89953f1A7C796bA56e9dB2F3b,3045,407,same-floor-same-tier,pause-block-holder,9,0,9,0,34961451,0xa2189704b1d6d5007defa9f7c4a173c077ae80fcc9d061abdcd3cc595ec549f4
215,0xfc7506d541eE119a64f0d75f907D21408b71A562,3151,3151,exact-id,,8,0,8,0,34961467,0x5e3788899a66705738a6255fa3dd44a943b17ecbe722cfd5832b8f047ac4b899
216,0xfc7506d541eE119a64f0d75f907D21408b71A562,3227,3227,exact-id,,3,0,3,0,34961482,0x77639f7f9c137f548f6d5f5d7accf7ca6fe0f9730fe2665d235cd4803fa65035
217,0x50d31D668B43EB05CFA2e76C46D6F3cb8d206f13,3475,3475,exact-id,,1,0,1,0,34961496,0x65fea474592d319735f2966c88d2956a3acc8503be05dc08ca13d535c362a111
218,0xfD5Cc1b62A7792D727Db762A2e1abC2615e650c2,3595,507,same-floor-same-tier,pause-block-holder,7,1,7,1,34961512,0x2065336918f418d30e65cd37a7db0d31c70b56763dce4c153aa22f3a00220e69
219,0x4324263f8017205F7Da6cF28b87330e49795c393,3672,3672,exact-id,,6,0,6,0,34961528,0xbb1f43956a7d60a57f0c028f1c0ca5e6d28528a03b7f76824bf372b313453845
220,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,3740,207,same-floor-same-tier,repeated-incident-id,1,0,1,0,34961543,0xf9b838145be71af55304c12179c8ec47dea1b976ceba38bbd3dcaa68bd78f31d
221,0xfc7506d541eE119a64f0d75f907D21408b71A562,3797,3797,exact-id,,4,0,4,0,34961558,0x4d5a5b0a432b2c29d4d38b1e711d397293fdb67ca0e0100bc53a0beac178ee3a
222,0x50d31D668B43EB05CFA2e76C46D6F3cb8d206f13,4063,274,same-floor-same-tier,pause-block-holder,2,1,2,1,34961572,0xf5c021eee007d8e6d5f770d7de12d8a0279ee5d1e9866be8745609636ca85b6b
223,0x05d3cD6859FCd219b4482Fb1D72743f07df8D606,1045,1045,exact-id,,4,0,4,0,34961699,0x8a94b3133321ae3a93485e8ac5ac45ae0fe3e3d499555869a803deda25455714
224,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,1096,1094,same-floor-same-tier,pause-block-holder,0,0,0,0,34961759,0xd2afa59eb4ccf21a586bf93beb384944b15aa85191d1fd25e4ef320aadc0ff06
225,0xE595Ed0eee63FE6ceB3e6b6770B9D826223a3737,1138,1138,exact-id,,8,0,8,0,34961775,0xe14665cf5621dc8b9a45d01d041393034bb7e87f3923dbe51ec62ca4d6b79dd4
226,0x05d3cD6859FCd219b4482Fb1D72743f07df8D606,1148,146,same-floor-same-tier,pause-block-holder,2,0,2,0,34961788,0x3128e94384a0018a6a7062518f9ef3c59d2afcd9523e667cdc12dbced1335128
227,0x237d44ff9c9A48bce5Ed6c337db3080Ec7967F56,1275,741,same-floor-same-tier,pause-block-holder,7,0,7,0,34961805,0x4315be8f885278460adeadc266ed261487de87e750400849d769bb1583fbe317
228,0x1ff67d19f75ad2F9375db66d6d27F29BCe8b56D1,1278,1278,exact-id,,8,0,8,0,34961818,0xd19c69d3ed1ba3c6e696a58af9ed3f5b34454594b76c28e2f405a2d61393dac0
229,0xE595Ed0eee63FE6ceB3e6b6770B9D826223a3737,1447,1447,exact-id,,6,0,6,0,34961834,0x2de3ebbe748c4892288c8368a471010cea2f78a63294ed960c019aab99046f3e
230,0xb9d666c6E61826545E2c8e26B46e11f501354591,1461,1461,exact-id,,9,0,9,0,34961849,0x10673000c4086651e5cf659a96c5b74ee055b167ce692db5f6c14977311080ab
231,0x37bbFc32408449Ec4251bf3C2fef4F7CD52746ba,1463,523,same-floor-same-tier,pause-block-holder,4,0,4,0,34961864,0xe3abf2b9885ae168b9bf89b93a079b138e7914474ef30d509b691976ba951786
232,0x3D145930A87880EdfB5687A45783429e1E7EBFa3,1473,1430,same-floor-same-tier,pause-block-holder,8,0,8,0,34961879,0x697e2bcfa8bc4a980b81212394e2422f78a51434e2a98fdf2f15164789abc3d8
233,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,1892,1892,exact-id,,8,0,8,0,34961897,0x8b31fb30474f79ff32869edfae92790db709108df912b24a8af8ed653884220a
234,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,2095,2095,exact-id,,1,1,1,1,34961914,0xf2ed1e86e09d30f5ceef0fb35f2a962a0ed4e31bbcd43dc09c1ac835779c442d
235,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,2629,2629,exact-id,,1,0,1,0,34961929,0x31075f88e8893fd5f0df433593493200d362a6e717c8dadd33ecfd7276073fc1
236,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,2690,986,same-floor-same-tier,pause-block-holder,7,1,7,1,34961944,0x7b4945a07f753676e8f0f9009b9b9fe171726d83ecd6147c35f4ca66f03cc565
237,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,3139,3139,exact-id,,3,0,3,0,34961959,0xe0d269f1ee5767a4b035579a23c6ebc4194b31925e7a8713675ecb4b3f182b9d
238,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,3713,3713,exact-id,,2,0,2,0,34961974,0xa593a9883049394158d037364cdedbe2d29846242a82a09bd597d069c4bc7d9b
239,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,3765,3765,exact-id,,8,1,8,1,34961990,0x5dc43ea43815014d1449afd3c8e07ddcd119989989bc30015ad81817105c0080
240,0x3D145930A87880EdfB5687A45783429e1E7EBFa3,3946,3946,exact-id,,0,0,0,0,34962005,0xd0a57c12c0ff45f9a16e48d17a1e8c592c32bd292bcede0a5c8daacae13a1780
241,0x237d44ff9c9A48bce5Ed6c337db3080Ec7967F56,4287,4287,exact-id,,6,1,6,1,34962020,0xa565fd07efb09ac8b7fb83584945f00e3485594c7dac90a83e50749cecdaa11e
242,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,4352,847,same-floor-same-tier,pause-block-holder,6,2,6,2,34962035,0xdd0909b65e0855301b5cda6d4ff1fd4126d740d84b58bbbddc7e346ff028321a
243,0x4CFD59Ad1d7236Af5C98248435B38e96554CD15B,176,1712,same-floor-same-tier,pause-block-holder,0,2,0,2,34962159,0x6c1f52348754fb4ed26a925da72ac2e0d34fdfb1f10b3c48482e8d18e1be6764
244,0x4CFD59Ad1d7236Af5C98248435B38e96554CD15B,244,244,exact-id,,2,0,2,0,34962175,0x31b9ab494332f49558cf03f7abd02f0064080cb3de478471abec1f34e2ec447c
245,0x4CFD59Ad1d7236Af5C98248435B38e96554CD15B,599,599,exact-id,,3,0,3,0,34962190,0x62738786c76ac0b9368df6c26453753117544501881bc633a8b78b12186e6e3f
246,0x2902b141aB0552aF86B105AB8aD6d66483A1fcD1,1021,1021,exact-id,,4,1,4,1,34962205,0x6744e2fe7dde2c4867fefd44dcf7e72f1739433188d097863a9d2bfeb5acc6e8
247,0xf99A3402B06f7C3aDB6Dc9360Fe1213DdDDDdddD,1578,1578,exact-id,,0,0,0,0,34962223,0x4107b6a3685728eba55916fddecc071c06042c5fec25cbdaeb6da5e415da3639
248,0x4CFD59Ad1d7236Af5C98248435B38e96554CD15B,1794,1794,exact-id,,1,2,1,2,34962241,0xb65687a9f961ee2ead9075df37db75d4adf50f49e0512c67bdfa2ff2a79718de
249,0x4CFD59Ad1d7236Af5C98248435B38e96554CD15B,1945,1945,exact-id,,9,2,9,2,34962255,0xed2840307dd3fa2be4e1a7bf53a98a7eb6465f8b7bdec5c75125f1d2162e452e
250,0xf99A3402B06f7C3aDB6Dc9360Fe1213DdDDDdddD,2595,2595,exact-id,,6,0,6,0,34962273,0x5e804865ef1e9db2239f19ab79e0638a5c042041c5d5df6001c012319b51023e
251,0x4CFD59Ad1d7236Af5C98248435B38e96554CD15B,2613,2613,exact-id,,9,2,9,2,34962286,0x4fddc84f3c6f8518b663c76d832b2b9221454a207a254e861ead51529bffdbae
252,0x13a78895e2da9f3E373463EAF943a97f4432781A,3114,755,same-floor-same-tier,pause-block-holder,7,0,7,0,34962301,0xb4a4f3343705f0d73796808758ef28a024f848bc8b0767826eac41509978e3c9
253,0x4CFD59Ad1d7236Af5C98248435B38e96554CD15B,3429,809,same-floor-same-tier,pause-block-holder,4,0,4,0,34962315,0xef6db8d2830c26dc440472754dac4e72716316d4e70fdcb439dd64a6104293d1
254,0xf99A3402B06f7C3aDB6Dc9360Fe1213DdDDDdddD,3979,664,same-floor-same-tier,pause-block-holder,6,0,6,0,34962331,0xebcc4340d1c5b27379b16e8af6d3907790dd7f9021abdfde4ce49dd4b6e4c5ea
255,0x2902b141aB0552aF86B105AB8aD6d66483A1fcD1,4024,4024,exact-id,,1,0,1,0,34962346,0xfbdcec0648e81b5f2c7cd9b524613cc9b603971e638c2effe257aca497064aa9
256,0x2902b141aB0552aF86B105AB8aD6d66483A1fcD1,4057,619,same-floor-same-tier,pause-block-holder,6,1,6,1,34962361,0x0040f182848dacfa25a02357b41cb7c8afbb40957acf6534308cbf8d9adb54fc
257,0x237d44ff9c9A48bce5Ed6c337db3080Ec7967F56,4217,2136,same-floor-same-tier,pause-block-holder,8,1,8,1,34962376,0x93e1623088c233fa7e84b6bda86f6ca2544667b3fd15372887532214a402e0c3
258,0xf99A3402B06f7C3aDB6Dc9360Fe1213DdDDDdddD,4333,4333,exact-id,,8,0,8,0,34962391,0xe4b154e1e38d7ba468719fa29950da7c5d9390053285417ef7d21aea0cb5f91c
259,0x8ABd6925DccE4b8b7f6F8F0f51bD0CF1B2707357,534,534,exact-id,,4,1,4,1,34962518,0x12166599b98d588d24ab8fe2c5e3206bd7890ef017a9c706bc90d0ae977fd36d
260,0x8ABd6925DccE4b8b7f6F8F0f51bD0CF1B2707357,1139,1139,exact-id,,9,0,9,0,34962532,0xa1fd9c7d664800dc30020544f7c1ba92faba6c23b243d68e3c0b4c01512006ef
261,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,1448,988,same-floor-same-tier,pause-block-holder,4,1,4,1,34962547,0x41fbd7a38e6e881c58b8d51de5d7af1d3ab2a7ecb2c0d08d70e7355313f52a3d
262,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,1674,1674,exact-id,,6,0,6,0,34962562,0x8acf55aa2b51df0d3fb26b516c674b3c3b78b15e4c9aa8a0e94035218513e478
263,0x71F9CCd68bf1f5F9b571f509E0765A04ca4fFad2,2534,472,same-floor-same-tier,repeated-incident-id,9,0,9,0,34962577,0xb33a4f6e957312745f3e3e75063cd9928c5896d8a9cdd5a2e257191ab5ee8f03
264,0x9474f4c29ce65B38264F1c7fB90ae262e511B132,2794,1432,same-floor-same-tier,pause-block-holder,8,0,8,0,34962591,0x688d49f353a30e21bccf7bd2bf9d1068ca145ee07a79811f88cfdb157bde38dd
265,0xf99A3402B06f7C3aDB6Dc9360Fe1213DdDDDdddD,3829,3829,exact-id,,2,0,2,0,34962607,0xc319cbb4d641618c2c115881a880602125ee32d0c5697597aab4cbcf4dcb0949
266,0xA4074Ba612888227A9b9ac15cf7918F087A0DC47,4427,4427,exact-id,,0,0,0,0,34962623,0x8e0d061dde827954b519bed8845392ff73a9f7a9fcfbe948c19a34dc399f24eb
267,0xA41f33aEA06e772Af57377B9e0c3816918bdaC40,1630,1630,exact-id,,3,1,3,1,34962747,0xeb48601d22421f2f836b2d2bf5d7864c9a78dc78069d4b611a7b16e530471198
268,0x8ABd6925DccE4b8b7f6F8F0f51bD0CF1B2707357,1864,1864,exact-id,,0,0,0,0,34962764,0x3273b0d108d212de06cd5901c6251442acd43197c485f8a1f600cc5909a9fde7
